"Online_id","Valence","Arousal","Dominance","Wheel_slice","Wheel_strength"
1,4,4,3,11,3
1,8,3,3,3,4
1,5,1,1,3,2
1,5,3,5,3,1
1,7,1,7,7,1
1,7,5,5,3,2
1,9,8,8,3,4
1,6,7,7,2,3
1,7,2,6,8,3
1,9,8,6,2,4
1,6,6,5,3,1
1,6,4,5,3,2
1,7,7,7,3,3
1,6,7,6,7,3
1,5,5,5,0,0
1,5,2,5,4,1
2,5,1,2,7,3
2,6,6,5,3,2
2,6,4,5,7,1
2,9,7,9,3,4
2,5,2,5,3,1
2,7,7,7,2,4
2,8,7,7,1,2
2,9,8,7,2,1
2,8,7,6,2,2
2,6,9,7,8,4
2,6,4,5,14,1
2,8,7,7,3,4
2,7,7,6,0,0
2,6,6,6,3,3
3,5,1,1,7,4
3,6,2,5,1,1
3,5,8,5,3,1
3,6,7,5,6,1
3,7,5,9,3,4
3,6,3,5,7,1
3,9,7,7,3,4
3,7,6,7,1,2
3,8,7,5,8,2
3,7,8,5,3,3
3,8,6,8,3,3
3,7,7,5,7,4
3,5,6,6,4,1
3,5,5,4,0,0
4,9,9,2,3,4
4,8,4,4,3,4
4,9,8,5,3,3
4,7,6,6,8,3
4,6,2,5,3,1
4,7,5,6,3,2
4,9,6,7,3,3
4,9,8,6,2,2
4,2,3,5,0,0
4,9,6,5,3,3
4,2,1,2,16,4
4,5,5,6,0,0
4,8,8,6,3,4
4,7,6,5,0,0
5,7,5,1,3,4
5,3,7,3,16,3
5,8,8,5,3,4
5,8,5,8,6,4
5,6,3,5,3,3
5,9,6,6,7,4
5,8,5,6,3,2
5,7,6,5,7,1
5,4,3,5,0,0
5,7,6,5,7,2
5,7,3,4,8,3
5,7,5,6,0,0
5,6,5,5,3,1
5,6,5,5,0,0
6,3,7,3,14,1
6,5,1,1,14,4
6,3,3,6,14,2
6,8,7,6,4,3
6,4,5,1,11,4
6,5,1,9,14,3
6,7,6,8,2,4
6,6,4,5,4,1
6,8,6,5,5,1
6,7,7,7,7,1
6,6,6,4,13,2
6,5,5,7,4,4
6,5,6,6,8,3
6,7,7,7,0,0
7,3,7,1,9,3
7,3,1,1,8,4
7,9,9,7,4,3
7,9,8,9,3,4
7,7,8,7,7,4
7,6,8,5,8,1
7,3,7,7,16,3
7,7,6,5,7,1
7,6,7,6,7,2
7,9,9,8,2,4
7,5,6,4,7,3
7,5,5,6,7,1
7,6,8,8,0,0
7,5,8,3,11,3
8,7,6,5,4,3
8,1,1,1,14,4
8,8,7,6,2,4
8,6,6,5,4,1
8,6,1,6,2,1
8,5,1,8,6,2
8,6,2,5,6,1
8,5,5,5,5,1
8,4,5,5,14,1
8,5,5,5,3,1
8,7,7,7,0,0
8,6,5,6,4,1
8,7,6,5,0,0
8,8,6,6,2,3
9,5,3,2,3,4
9,8,6,5,1,3
9,7,6,5,3,3
9,8,3,8,3,4
9,6,2,5,7,2
9,6,3,5,3,1
9,9,5,5,3,4
9,8,7,6,3,2
9,8,5,5,3,3
9,8,6,6,3,4
9,7,6,7,3,4
9,5,5,4,0,0
9,7,5,5,3,3
9,8,6,5,4,3
10,1,1,1,14,4
10,6,3,7,6,1
10,7,3,6,5,2
10,9,3,9,2,4
10,7,6,5,3,3
10,5,5,5,16,1
10,6,3,5,3,1
10,3,2,7,15,1
10,2,2,3,14,1
10,5,3,7,0,0
10,5,4,5,8,1
10,6,6,6,8,3
10,6,6,4,0,0
10,5,5,5,6,1
11,1,1,1,14,4
11,5,3,3,13,2
11,7,7,5,7,2
11,4,4,3,14,4
11,8,8,7,1,4
11,6,6,7,1,1
11,4,3,5,14,1
11,6,5,8,4,1
11,5,4,4,7,2
11,7,6,5,9,1
11,5,5,5,0,0
11,5,3,6,15,1
11,7,8,7,0,0
11,5,8,7,3,4
11,8,6,6,2,3
12,5,3,3,7,4
12,8,6,7,3,4
12,7,3,8,2,3
12,5,2,5,14,1
12,8,7,7,4,3
12,9,9,8,3,4
12,7,5,6,2,2
12,9,9,7,3,4
12,5,4,5,16,1
12,7,7,6,3,4
12,7,5,7,3,3
12,6,5,4,3,2
12,5,8,6,0,0
12,5,5,7,1,3
13,4,1,1,8,2
13,7,7,7,3,4
13,6,6,3,11,3
13,7,5,7,3,3
13,8,3,6,1,3
13,7,5,5,3,2
13,4,4,4,8,4
13,6,3,7,4,2
13,1,5,9,14,4
13,5,3,5,6,1
13,5,3,5,0,0
13,6,5,5,8,3
13,7,6,5,0,0
13,6,6,7,6,3
14,1,1,1,14,4
14,5,1,8,15,3
14,6,6,5,13,1
14,6,6,7,14,2
14,5,1,5,14,4
14,7,7,5,3,3
14,1,1,1,9,4
14,5,1,7,4,1
14,5,6,5,13,1
14,5,4,5,3,1
14,7,5,5,7,1
14,6,7,7,3,2
14,5,2,5,14,1
14,4,5,4,15,1
14,6,6,5,0,0
15,1,1,1,10,4
15,3,6,3,9,3
15,9,9,7,3,4
15,6,4,7,14,1
15,7,7,5,7,3
15,9,7,7,3,4
15,9,7,7,2,4
15,9,7,5,3,4
15,9,8,7,3,4
15,5,5,3,9,3
15,7,7,7,3,3
15,7,6,6,3,3
15,9,9,9,3,4
15,7,7,7,2,3
15,7,7,6,0,0
16,5,3,1,7,4
16,5,2,9,11,1
16,6,3,1,5,1
16,7,1,8,4,2
16,6,3,5,3,2
16,7,6,5,2,3
16,7,5,6,8,3
16,6,5,5,7,1
16,5,3,5,8,1
16,2,2,6,0,0
16,7,7,5,3,4
16,7,7,7,2,3
16,4,4,5,8,2
16,6,6,5,0,0
17,5,1,1,3,1
17,7,4,5,5,2
17,6,3,3,3,2
17,7,3,6,3,4
17,9,4,7,3,4
17,6,2,5,3,1
17,7,3,5,3,3
17,5,2,5,2,1
17,6,6,5,3,3
17,1,3,9,11,4
17,7,5,5,15,2
17,7,2,3,0,0
17,6,5,5,3,1
17,4,4,5,0,0
18,1,1,1,3,2
18,4,2,5,15,2
18,7,3,3,4,4
18,6,5,3,9,1
18,6,7,3,7,3
18,5,1,5,3,1
18,6,6,5,3,3
18,6,3,6,6,3
18,7,2,7,3,2
18,7,2,5,6,2
18,6,6,3,3,4
18,7,5,5,6,3
18,7,5,5,0,0
18,6,5,6,4,1
18,5,5,4,0,0
19,1,1,1,11,4
19,6,5,6,3,1
19,5,3,3,5,2
19,8,8,7,4,3
19,7,3,6,4,3
19,5,1,5,14,2
19,7,3,7,3,2
19,6,3,5,1,1
19,5,2,5,3,1
19,5,5,5,13,4
19,5,1,5,3,1
19,5,2,3,0,0
19,7,6,6,4,2
19,6,4,3,0,0
20,1,1,1,11,4
20,8,4,9,7,4
20,9,9,3,3,4
20,4,7,4,14,4
20,5,1,5,9,1
20,5,1,5,3,1
20,6,3,6,1,2
20,4,6,4,14,1
20,3,2,5,14,1
20,5,3,5,11,4
20,4,6,7,14,3
20,5,3,5,7,2
20,5,5,6,7,1
20,6,8,8,0,0
21,7,5,5,7,4
21,7,7,8,2,4
21,1,3,3,9,3
21,3,7,4,10,1
21,3,4,3,9,3
21,4,5,5,4,2
21,6,2,4,6,2
21,4,4,5,9,2
21,5,2,5,4,1
21,5,3,3,10,3
21,7,3,7,6,3
21,5,2,2,6,2
21,4,4,6,15,1
21,3,6,5,0,0
22,7,3,1,8,2
22,7,6,3,9,2
22,7,5,5,7,3
22,7,1,8,3,2
22,4,3,5,9,1
22,5,1,4,2,1
22,5,2,5,7,2
22,4,2,3,9,1
22,8,2,5,2,3
22,3,6,5,9,4
22,5,3,5,9,3
22,5,3,2,0,0
22,5,5,6,8,2
22,7,8,4,0,0
23,5,1,1,7,4
23,3,2,7,14,3
23,6,3,4,8,3
23,5,3,5,5,2
23,7,7,5,4,3
23,7,6,7,2,3
23,6,6,5,3,3
23,9,6,7,2,4
23,7,1,5,3,3
23,9,9,9,0,0
23,6,3,2,7,2
23,7,3,9,3,3
23,5,6,6,7,3
23,6,5,5,0,0
24,5,1,1,9,1
24,7,8,3,3,3
24,4,1,7,9,2
24,7,7,7,3,3
24,7,6,5,4,3
24,8,5,8,4,4
24,6,3,7,7,2
24,8,4,5,6,3
24,5,1,5,0,0
24,9,9,9,0,0
24,8,2,6,6,4
24,7,3,3,3,3
24,5,4,5,9,1
24,6,5,5,0,0
25,5,1,1,7,1
25,2,7,2,9,3
25,2,2,8,15,1
25,9,5,4,6,4
25,6,6,4,9,2
25,6,1,5,9,2
25,8,8,3,2,3
25,7,7,3,7,3
25,6,3,5,3,1
25,5,1,5,7,1
25,4,5,3,9,4
25,5,1,1,14,1
25,5,5,4,4,1
25,4,4,4,0,0
26,5,3,1,4,4
26,2,2,7,15,3
26,7,8,7,3,2
26,9,8,8,7,4
26,7,5,7,4,3
26,7,7,5,7,3
26,6,7,6,3,1
26,6,2,5,7,2
26,5,6,6,7,3
26,2,1,1,7,1
26,5,3,1,7,2
26,6,6,7,8,2
26,5,3,2,8,2
26,6,6,5,8,2
26,8,8,7,0,0
27,5,1,1,3,1
27,6,4,4,2,3
27,9,8,5,3,4
27,8,7,6,6,2
27,9,7,9,3,4
27,7,1,3,3,2
27,5,3,9,4,1
27,7,6,5,3,3
27,9,3,7,2,3
27,6,5,5,5,1
27,7,3,5,4,3
27,7,5,6,3,3
27,9,7,7,3,3
27,7,5,5,3,2
27,5,6,3,0,0
28,1,1,1,14,4
28,3,6,7,11,3
28,8,6,5,3,3
28,6,8,5,3,1
28,3,1,4,11,1
28,5,6,5,2,3
28,5,3,5,7,1
28,2,3,3,0,0
28,4,7,5,9,3
28,3,2,5,9,3
28,3,4,3,0,0
28,5,1,1,9,1
28,5,6,5,8,1
28,5,3,7,0,0
28,3,7,3,9,2
29,5,1,1,8,1
29,8,6,4,6,3
29,8,2,5,6,3
29,7,3,9,2,2
29,7,3,5,9,2
29,4,4,6,12,1
29,5,4,2,7,2
29,7,6,4,3,2
29,6,6,7,3,2
29,8,7,5,5,4
29,7,2,6,9,1
29,4,4,5,8,3
29,8,2,3,4,3
29,7,4,6,3,2
29,6,6,6,0,0
30,5,1,1,7,1
30,4,2,6,16,2
30,9,5,8,3,4
30,7,5,7,2,4
30,7,6,5,3,1
30,8,4,8,4,3
30,9,8,8,3,4
30,3,9,2,9,4
30,7,6,6,2,3
30,9,8,7,3,4
30,6,5,5,1,1
30,8,7,6,3,3
30,7,6,5,3,2
30,6,5,5,8,2
30,6,5,6,0,0
31,5,1,1,9,1
31,3,2,3,12,2
31,3,2,3,9,2
31,7,4,7,5,2
31,4,1,7,9,1
31,6,4,5,3,1
31,3,6,2,9,3
31,4,2,1,14,4
31,7,7,7,3,3
31,3,5,5,9,3
31,5,3,5,12,1
31,3,4,3,9,2
31,3,6,3,10,2
31,3,4,3,9,2
31,4,5,4,0,0
32,5,3,1,7,4
32,1,8,3,11,3
32,8,7,3,6,3
32,3,1,1,9,4
32,1,1,1,9,4
32,3,1,4,3,2
32,7,2,5,8,1
32,3,5,2,6,3
32,7,7,7,11,2
32,8,7,5,7,4
32,3,1,1,9,3
32,2,3,1,9,3
32,7,6,5,7,3
32,4,4,4,9,2
32,5,4,6,0,0
33,5,1,1,7,1
33,3,6,4,15,3
33,3,2,3,11,2
33,3,3,4,9,3
33,3,4,5,9,4
33,4,7,1,13,3
33,3,6,5,14,4
33,6,4,4,13,1
33,2,7,3,14,3
33,1,4,3,9,4
33,4,6,5,16,1
33,2,7,2,9,4
33,4,1,1,14,2
33,4,4,3,9,2
33,3,5,4,0,0
34,5,1,1,9,1
34,4,5,5,9,2
34,5,1,7,9,1
34,2,8,5,9,3
34,6,5,4,7,4
34,5,1,5,7,1
34,4,3,1,9,3
34,8,7,5,1,3
34,3,7,7,2,3
34,5,4,5,9,1
34,3,6,4,9,3
34,7,3,1,6,3
34,3,4,3,9,3
34,4,6,6,9,1
34,1,3,5,0,0
35,1,1,1,14,4
35,6,3,5,3,1
35,7,7,5,3,4
35,6,3,3,7,2
35,3,1,4,9,1
35,5,1,1,9,1
35,5,1,5,14,1
35,8,7,3,5,3
35,4,3,7,5,2
35,6,3,6,6,1
35,5,5,5,3,1
35,5,3,1,6,4
35,5,2,5,3,1
35,5,3,6,4,1
35,5,5,4,0,0
36,5,1,1,7,1
36,7,7,6,2,3
36,6,6,8,3,3
36,6,5,5,7,1
36,7,7,6,6,3
36,5,2,4,3,1
36,6,5,7,7,2
36,4,5,5,7,3
36,5,6,6,1,2
36,5,3,5,4,2
36,3,6,5,14,3
36,5,5,5,2,2
36,3,6,4,15,1
36,6,6,6,8,2
36,4,6,4,0,0
37,5,1,1,7,2
37,7,3,6,3,3
37,7,2,8,9,1
37,5,1,4,9,1
37,3,1,4,9,2
37,5,1,5,15,1
37,6,1,6,7,1
37,5,1,1,15,1
37,6,7,7,9,1
37,6,4,6,3,3
37,4,2,5,9,1
37,5,3,1,9,1
37,5,4,4,9,1
37,4,2,6,7,1
37,4,3,3,0,0
38,1,1,1,14,4
38,6,5,4,8,3
38,6,3,7,9,2
38,5,1,9,15,2
38,3,3,5,9,2
38,4,1,6,9,1
38,3,6,7,9,3
38,7,7,7,3,3
38,1,6,7,1,3
38,5,2,5,6,1
38,6,6,6,3,2
38,4,6,4,9,1
38,3,5,6,15,3
38,5,4,4,0,0
39,9,5,1,7,4
39,3,2,4,9,2
39,6,3,9,9,2
39,5,1,4,9,2
39,4,3,6,9,2
39,4,2,5,9,1
39,5,1,6,7,1
39,5,1,1,11,2
39,8,8,3,3,3
39,5,3,5,6,1
39,3,2,3,6,1
39,6,2,5,6,1
39,5,4,6,9,1
39,4,4,5,0,0
40,6,5,5,6,1
40,5,2,5,6,3
40,5,1,5,6,1
40,3,3,2,14,1
40,4,2,5,6,1
40,3,1,1,9,3
40,7,1,2,6,3
40,9,9,4,2,4
40,3,1,5,9,1
40,2,3,2,10,3
40,9,9,1,6,4
40,5,6,2,10,2
40,3,2,4,9,1
40,4,3,5,0,0
41,2,6,5,9,2
41,4,3,6,9,3
41,2,3,3,9,3
41,3,2,2,16,3
41,3,1,3,9,1
41,2,7,4,9,4
41,3,2,5,9,3
41,3,2,9,14,3
41,3,2,3,9,2
41,6,4,3,9,3
41,5,3,9,11,1
41,5,1,3,16,3
41,5,1,5,9,1
41,3,4,3,9,3
41,1,3,7,0,0
42,5,1,1,9,1
42,3,2,1,12,3
42,5,1,7,9,1
42,4,3,3,5,3
42,3,1,6,9,1
42,8,6,2,11,2
42,8,7,7,3,3
42,4,2,3,6,1
42,6,1,2,9,2
42,6,7,6,9,3
42,5,1,5,16,3
42,6,5,5,7,2
42,3,3,3,9,2
42,5,2,5,15,1
42,3,2,5,0,0
43,9,7,3,9,4
43,3,2,3,9,3
43,5,5,7,4,3
43,6,4,4,5,3
43,6,7,3,7,4
43,4,7,3,5,3
43,7,4,7,6,3
43,4,2,3,0,0
43,3,7,6,9,3
43,2,6,1,9,4
43,4,7,3,10,2
43,7,5,3,9,3
43,4,3,5,9,1
43,5,3,6,0,0
43,1,3,1,9,4
44,6,5,1,9,4
44,2,4,3,9,3
44,4,3,3,11,3
44,6,4,7,6,3
44,3,4,6,9,3
44,3,2,2,9,3
44,6,1,3,9,1
44,4,4,7,9,1
44,2,2,5,13,1
44,7,3,7,13,3
44,6,5,5,8,1
44,3,5,4,5,3
44,4,4,6,15,2
44,2,3,5,0,0
44,5,5,5,14,1
45,5,1,1,7,4
45,7,4,6,6,3
45,1,2,1,12,3
45,3,2,4,14,2
45,4,4,4,9,1
45,4,4,2,9,2
45,3,4,2,7,3
45,8,6,7,4,3
45,4,1,4,6,1
45,4,2,2,12,1
45,3,5,3,9,3
45,7,4,5,5,3
45,4,3,4,9,2
45,3,2,4,0,0
45,3,1,1,11,2
46,5,1,3,10,2
46,7,3,8,2,1
46,6,6,9,7,2
46,5,1,1,6,2
46,5,3,6,8,3
46,7,6,8,6,4
46,5,7,4,10,1
46,5,6,5,7,2
46,6,2,5,15,2
46,5,6,4,10,1
46,4,5,5,9,1
46,8,5,6,6,3
46,2,2,1,8,1
46,5,7,7,3,3
46,2,5,4,0,0
47,5,1,1,7,1
47,8,6,8,4,3
47,3,3,7,9,2
47,5,2,7,3,1
47,8,8,8,2,3
47,4,7,4,11,1
47,4,6,5,16,2
47,7,3,8,1,3
47,3,3,2,9,2
47,6,6,5,2,2
47,1,1,1,11,4
47,1,1,1,16,4
47,4,6,5,15,2
47,3,6,4,0,0
47,7,7,7,3,3
48,5,1,1,14,1
48,7,9,9,3,4
48,9,7,9,2,4
48,5,3,5,15,1
48,5,7,5,5,2
48,6,7,6,7,2
48,3,3,1,15,4
48,5,7,5,16,2
48,6,7,5,7,2
48,6,3,7,7,2
48,3,7,6,15,1
48,4,4,3,8,2
48,5,6,6,16,1
48,3,6,5,0,0
48,1,1,5,7,1
49,9,9,9,16,4
49,1,1,1,14,4
49,3,6,3,16,4
49,8,8,7,4,3
49,4,6,2,16,3
49,4,4,6,16,3
49,5,8,5,4,2
49,4,9,3,16,2
49,5,4,5,7,1
49,5,6,5,16,2
49,7,4,9,4,3
49,2,4,3,8,3
49,3,6,6,8,2
49,3,7,8,0,0
49,6,8,6,7,3
50,5,6,7,15,3
50,5,1,1,7,1
50,7,4,6,5,3
50,6,4,6,3,3
50,3,5,4,15,1
50,7,6,7,4,2
50,7,7,7,2,3
50,5,4,5,4,1
50,5,5,5,16,4
50,5,4,5,4,1
50,5,6,6,0,0
50,5,2,4,3,2
50,5,6,5,7,3
50,5,2,7,7,1
50,6,3,5,4,2
51,5,4,6,12,2
51,1,1,1,14,4
51,7,7,6,7,3
51,3,5,7,14,3
51,3,3,5,15,3
51,2,7,6,7,3
51,5,7,5,7,3
51,5,8,6,1,1
51,5,9,3,10,2
51,3,5,5,9,2
51,4,5,5,9,2
51,2,7,6,0,0
51,4,3,2,10,3
51,3,5,4,10,2
51,3,6,2,10,3
52,7,5,6,7,3
52,5,4,7,16,2
52,1,1,1,14,4
52,4,9,5,16,4
52,4,4,7,15,3
52,8,6,9,3,4
52,2,3,3,14,3
52,5,3,4,14,3
52,5,7,5,16,2
52,5,4,9,14,1
52,4,4,5,14,1
52,5,2,7,15,2
52,5,5,5,7,1
52,4,6,4,0,0
52,5,6,9,5,4
53,7,7,8,16,4
53,5,2,6,15,2
53,5,2,2,7,3
53,3,6,3,10,3
53,8,7,6,4,3
53,4,8,5,16,3
53,2,9,3,7,4
53,5,5,4,14,3
53,4,8,4,15,2
53,4,7,5,2,1
53,6,7,6,8,3
53,3,7,7,16,3
53,5,7,4,8,2
53,5,7,6,16,2
53,4,7,5,0,0
54,6,6,3,6,3
54,4,6,9,16,3
54,5,1,1,7,1
54,7,9,5,2,3
54,5,9,9,12,3
54,7,6,6,4,2
54,6,6,6,1,2
54,5,6,3,1,2
54,5,5,5,16,3
54,6,8,7,1,3
54,5,5,5,14,1
54,6,6,5,7,3
54,5,6,5,15,1
54,6,5,6,4,1
54,3,4,5,0,0
55,7,6,5,15,3
55,5,4,7,16,2
55,9,9,3,3,4
55,3,3,3,14,4
55,3,3,5,10,2
55,5,9,7,15,4
55,4,6,4,10,1
55,4,2,5,9,3
55,5,3,5,7,3
55,5,6,4,14,1
55,3,7,3,10,3
55,4,8,2,16,3
55,5,5,6,8,2
55,4,8,7,0,0
55,6,3,5,4,2
56,1,6,7,14,4
56,2,3,6,15,4
56,2,9,8,16,4
56,3,9,3,16,4
56,5,3,7,15,1
56,3,7,7,15,3
56,2,5,5,16,2
56,6,5,7,7,3
56,6,7,5,7,3
56,8,8,8,1,4
56,2,9,3,16,3
56,7,5,3,14,3
56,3,4,2,14,4
56,5,4,6,15,2
56,4,8,6,0,0
57,5,3,8,16,2
57,3,1,1,14,1
57,3,7,7,9,4
57,5,5,7,16,3
57,2,9,9,16,4
57,6,4,7,7,3
57,3,7,4,16,3
57,8,8,8,1,4
57,4,7,5,16,2
57,4,5,7,14,1
57,4,5,5,16,1
57,5,7,4,10,1
57,1,1,1,14,4
57,5,6,7,7,1
57,3,7,5,0,0
58,5,1,3,14,1
58,9,5,5,7,4
58,5,5,5,14,4
58,2,4,7,16,3
58,5,4,6,14,1
58,7,6,8,4,3
58,4,6,5,15,2
58,6,7,5,16,1
58,5,1,5,7,1
58,4,1,5,16,1
58,3,5,5,15,2
58,3,6,5,15,1
58,5,6,3,10,2
58,1,1,1,11,4
58,6,5,6,7,2
58,4,6,5,0,0
59,8,7,7,4,3
59,2,2,1,9,3
59,1,1,1,14,4
59,9,7,8,3,4
59,2,7,6,16,4
59,2,9,3,15,1
59,1,9,9,16,4
59,7,9,7,2,4
59,3,6,7,7,2
59,8,4,8,4,3
59,2,7,5,16,1
59,5,5,4,9,1
59,3,2,3,9,3
59,4,7,7,7,3
59,3,7,7,0,0
59,5,3,5,16,1
60,5,3,5,7,4
60,5,3,5,11,3
60,4,4,3,16,2
60,3,6,4,9,1
60,6,8,6,16,3
60,5,2,5,15,2
60,3,7,6,16,4
60,5,6,5,10,1
60,6,8,8,4,3
60,9,9,7,1,3
60,5,5,5,7,1
60,1,1,1,0,0
60,4,5,4,9,1
60,5,6,7,0,0
61,2,6,5,15,3
61,8,3,3,3,3
61,1,1,1,14,4
61,7,5,6,3,2
61,7,3,3,3,4
61,7,3,7,5,2
61,7,6,5,3,1
61,9,9,9,3,4
61,9,7,6,3,4
61,7,5,5,3,2
61,6,5,5,3,2
61,9,9,9,3,4
61,7,6,6,2,3
61,4,6,5,0,0
61,6,6,6,4,1
62,8,8,4,5,3
62,5,5,8,16,2
62,5,1,5,0,0
62,9,5,3,3,4
62,7,5,5,7,2
62,7,5,5,4,3
62,8,6,9,3,4
62,9,9,9,2,4
