"Online_id","Experiment_id","Lastfm_tag","Artist","Title","Youtube_link","Highlight_start","Num_ratings","VAQ_Estimate","VAQ_Online","AVG_Valence","STD_Valence","Q1_Valence","Q2_Valence","Q3_Valence","AVG_Arousal","STD_Arousal","Q1_Arousal","Q2_Arousal","Q3_Arousal","AVG_Dominance","STD_Dominance","Q1_Dominance","Q2_Dominance","Q3_Dominance"
1,,"happy","Alphabeat","Fascination","http://www.youtube.com/watch?v=QvD6maGRh7c",61,16,1,2,6.375,1.4087,2.4167,6,7,4.5625,2.3444,2.4167,4.5,7,5.25,1.7139,5,5,6.5833
2,1,"fun","Emilíana Torrini","Jungle Drum","http://www.youtube.com/watch?v=iZ9vkd7Rp-g",81,14,1,1,6.8571,1.3015,4,6.5,8,5.8571,2.1993,4,7,7,6,1.5584,5,6,7
3,,"fun","The Go! Team","Huddle Formation","http://www.youtube.com/watch?v=X0eso4ARXzk",136,14,1,1,6.5,1.2392,4.8333,6.5,7.0833,5.5714,2.0947,4.8333,6,7,5.5,1.842,5,5,7
4,,"fun","Junior Senior","Move Your Feet","http://www.youtube.com/watch?v=TjkQeBG8r_s",161,14,1,1,6.9286,2.3441,3.9167,7.5,9,5.5,2.2913,3.9167,6,8,5,1.4142,4.9167,5,6
5,,"fun","Of Montreal","Wraith Pinned To The Mist And Other Games","http://www.youtube.com/watch?v=7PoJv4N1Too",126,14,1,1,6.6429,1.5403,4.8333,7,8,5.1429,1.407,4.8333,5,6,4.9286,1.5336,4.9167,5,6
6,,"sexy","Shakira","Loba","http://www.youtube.com/watch?v=inavo37kSOg",171,14,1,1,5.6429,1.586,3.9167,5.5,7,5.0714,2.0165,3.9167,6,7,5.3571,2.3179,3.9167,6,7
7,2,"exciting","Lustra","Scotty Doesn't Know","http://www.youtube.com/watch?v=51ncDQYxsm8",141,14,1,1,5.9286,2.0516,6,6,7.1667,6.9286,1.9808,6,7.5,8,5.5,2.4128,3.9167,6,7.0833
8,,"pleasure","4 Strings","Let It Rain (Dj 4 Strings Vocal Mix)","http://www.youtube.com/watch?v=HQzd3BIEabM",136,14,1,2,5.7857,1.7394,1.9167,6,7,4.5,2.163,1.9167,5,6,5.3571,1.4932,5,5,6
9,11,"happy","Michael Franti & Spearhead","Say Hey (I Love You)","http://www.youtube.com/watch?v=eoaTl7IcFs8",151,14,1,2,7.1429,1.1867,3,7.5,8,4.8571,1.4569,3,5,6,5.2143,1.319,5,5,6
10,,"adorable","Kara","Honey","http://www.youtube.com/watch?v=PT47mdE7qY4",6,14,1,2,5.2143,2.0064,2.9167,5.5,6.0833,3.7143,1.5779,2.9167,3,5.0833,5.3571,1.8749,4.9167,5,7
11,,"exciting","Slumdog Millionaire","Jai Ho","http://www.youtube.com/watch?v=piWMN_VNg3Y",6,15,1,1,5.5333,1.7461,3.1667,5,7,5.1333,2.0613,3.1667,5,6.8333,5.2667,1.8427,4.1667,5,7
12,,"joy","Mika","Love Today","http://www.youtube.com/watch?v=AWiccrTB4LM",51,14,1,1,6.6429,1.4446,3.9167,7,8,5.5714,2.1285,3.9167,5,7.0833,6.1429,1.407,5,6.5,7
13,,"happy","I'm From Barcelona","We're From Barcelona","http://www.youtube.com/watch?v=3Wi1d0FNgdQ",121,14,1,2,5.6429,1.7158,3,6,7,4.4286,1.5908,3,5,6,5.4286,1.9166,4.9167,5,7
14,,"pleasure","Jordyn Taylor","Accessory","http://www.youtube.com/watch?v=S_j7U4R4aO8",6,15,1,3,4.9333,1.7308,1,5,6,3.9333,2.3795,1,5,6,5,1.8974,5,5,6.6667
15,3,"joy","Jackson 5","Blame It On The Boogie","http://www.youtube.com/watch?v=nb1u7wMKywM",21,15,1,1,6.9333,2.3228,6,7,9,6.4667,1.9276,6,7,7,5.8,2.0067,5,7,7
16,,"passion","Old Crow Medicine Show","Caroline","http://www.youtube.com/watch?v=uyUOe7HAkpk",161,14,2,2,5.7143,1.3851,2.9167,6,7,4.0714,1.8695,2.9167,3.5,6,5.2143,2.1105,5,5,6.0833
17,12,"cheerful","Grand Archives","Miniature Birds","http://www.youtube.com/watch?v=_iEnN9ip1Qk",151,14,2,2,5.9286,1.7914,2,6,7,3.3571,1.342,2,3,4.0833,4.9286,1.7914,4.8333,5,5.0833
18,,"chill","Jack Johnson","Breakdown","http://www.youtube.com/watch?v=Z50ZveXL-Ps",86,15,2,2,5.7333,1.5261,2,6,7,3.8667,1.8927,2,5,5,4.4,1.4967,3,5,5
19,,"chill","311","Amber","http://www.youtube.com/watch?v=cCO-3TzoFJo",16,14,2,2,5.5714,1.5908,1.9167,5.5,7,3.3571,1.9859,1.9167,3,5,4.7857,1.6552,3,5,6
20,,"sexy","Christina Aguilera","Nasty Naughty Boy","http://www.youtube.com/watch?v=DqpFMqfeltE",286,14,2,3,5,1.8898,1.9167,5,6,4.2143,2.5685,1.9167,3.5,6.0833,5.2143,1.9339,4,5,6.0833
21,,"calm","Gorillaz","Stop The Dams","http://www.youtube.com/watch?v=p_1-VFflpCI",171,14,2,3,4.5714,1.7202,2.9167,4.5,6.0833,4.0714,1.6675,2.9167,4,5.0833,4.6429,1.586,3,5,5.0833
22,,"calm","LCD Soundsystem","New York I Love You But You're Bringing Me Down","http://www.youtube.com/watch?v=-eohHwsplvY",136,14,2,2,5.6429,1.4446,2,5,7,3.5714,2.0253,2,3,5.0833,4.3571,1.6736,3,5,5
23,,"relaxing","Oren Lavie","Her Morning Elegance","http://www.youtube.com/watch?v=XiLulP9EErc",11,14,2,2,6.2857,1.532,2.9167,6,7,4.3571,2.3179,2.9167,4,6,5.5,2.1958,4.9167,5,7
24,13,"love","Bright Eyes","First Day Of My Life","http://www.youtube.com/watch?v=zwFS69nA-1w",6,14,2,2,6.5714,1.3997,1.9167,7,8,4.2143,2.5122,1.9167,4,6.0833,5.4286,2.0603,4.8333,5,7
25,,"sentimental","Beck","Jackass","http://www.youtube.com/watch?v=W8SKL4fniRM",81,14,2,2,5.2857,1.906,1,5,6.0833,4,2.4202,1,4.5,6.0833,3.7143,1.7496,2.9167,4,5
26,,"cheerful","Röyksopp","Happy Up Here","http://www.youtube.com/watch?v=KmcPeuf5aXo",46,15,2,2,5.7333,1.8427,3,6,7,5,2.3664,3,6,7,5,2.4221,2.5,6,7
27,14,"happy","Jason Mraz","I'm Yours","http://www.youtube.com/watch?v=EkHTsc9PU2A",6,15,2,2,7.0667,1.436,3,7,8.8333,4.7333,2.1124,3,5,6.8333,5.3333,2.087,4.1667,5,6.8333
28,,"passion","Lara Fabian","Tango","http://www.youtube.com/watch?v=GfDPPEnI1J4",176,15,2,3,4.0667,1.6918,2.1667,4,5,4.2667,2.3514,2.1667,4,6,4.2667,1.7308,3,5,5
29,15,"lovely","Bishop Allen","Butterfly Nets","http://www.youtube.com/watch?v=B8eI64H1Cqk",6,15,2,2,6.4667,1.3597,2.1667,7,7.8333,4,1.7889,2.1667,4,6,4.9333,1.9137,4,5,6
30,,"happy","Noah And The Whale","5 Years Time","http://www.youtube.com/watch?v=T8YCSJpF4g4",191,15,2,1,6.7333,1.7308,5,7,8,5.4667,2.0613,5,5,6.8333,5.6667,1.9551,5,6,7
31,22,"sentimental","Porcupine Tree","Normal","http://www.youtube.com/watch?v=A-BSL5Av89w",126,15,3,3,4.2,1.4236,2,4,5,3.7333,1.8062,2,4,5,3.9333,1.9482,3,3,5
32,,"sad","Gary Jules","Mad World","http://www.youtube.com/watch?v=4N3N1MlvVc4",81,15,3,3,4.4667,2.3627,1.1667,4,7,4,2.4495,1.1667,4,6.8333,3.2667,1.9821,1,3,5
33,23,"melancholy","Wilco","How To Fight Loneliness","http://www.youtube.com/watch?v=zLDPhPrr5Ig",181,15,3,3,3.3333,1.1926,3.1667,3,4,4.4667,1.9956,3.1667,4,6,3.2,1.376,2.1667,3,4
34,,"sentimental","Rascal Flatts","Here Comes Goodbye","http://www.youtube.com/watch?v=1Uq3nI11w4g",236,15,3,3,4.3333,1.7764,3,4,5,4.2667,2.205,3,4,6,4.2667,1.9137,3.1667,5,5
35,,"joy","Blackstreet","Joy (New Carnegie Mix)","http://www.youtube.com/watch?v=Zxe4H0kQpis",186,15,3,2,5.0667,1.5691,1.1667,5,6,3.2,1.9391,1.1667,3,4.6667,4.0667,1.8427,3,5,5
36,,"regret","Tokyo Police Club","Citizens Of Tomorrow (Space Ballad Version)","http://www.youtube.com/watch?v=2SpecRRKRoU",111,15,3,1,5.1333,1.2037,5,5,6,5.0667,1.6918,5,6,6,5.1333,1.5434,4.1667,5,6
37,16,"sentimental","The Submarines","Darkest Things","http://www.youtube.com/watch?v=ijLKoqN5_EY",41,15,3,2,5.1333,1.0873,1,5,6,2.4,1.6248,1,2,3,4.4667,2.125,3.1667,5,6
38,,"pleasure","D.H.T.","Listen To Your Heart (Edmee's Unplugged Vocal Edit)","http://www.youtube.com/watch?v=GilxHOdGZNA",6,14,3,3,4.2143,1.78,1.9167,4.5,6,4,2.0702,1.9167,4.5,6,5.5714,1.879,4,6,7
39,,"sad","Kate Nash","Nicest Thing","http://www.youtube.com/watch?v=cQHJuSZTjkE",26,14,3,2,5.1429,1.6413,1.9167,5,6,2.9286,1.8309,1.9167,2.5,4,4.5,2.0266,3,5,6
40,,"ecstasy","Sigur Ros","Von","http://www.youtube.com/watch?v=hme5jf2Z_ow",296,14,3,3,4.8571,2.1333,1,4.5,6.0833,3.4286,2.6916,1,2.5,5.0833,3.4286,1.5908,2,4,5
41,24,"sad","James Blunt","Goodbye My Lover","http://www.youtube.com/watch?v=wVyggTKDcOE",186,15,3,3,3.3333,1.3499,2,3,4.8333,2.9333,1.6918,2,3,3.8333,4.6667,2.1499,3,4,5.8333
42,,"melancholy","Radiohead","Last Flowers","http://www.youtube.com/watch?v=WDdleGysNys",6,15,3,3,4.9333,1.6111,1,5,6,2.9333,2.1437,1,2,4.6667,4.0667,1.9821,2.1667,5,5.8333
43,,"sad","Johnny Cash","Hurt","http://www.youtube.com/watch?v=AO9dbmJ_2zU",151,15,3,3,4.6667,2.0221,3,4,6,4.8,1.869,3,5,7,3.8667,1.8571,3,3,5.8333
44,25,"depressing","A Fine Frenzy","Goodbye My Almost Lover","http://www.youtube.com/watch?v=EDEEzS7OV2k",211,15,3,3,4.2,1.6411,3,4,6,3.6,1.2,3,4,4.8333,4.6,1.8184,3,5,6
45,26,"mellow","Kings Of Convenience","The Weight Of My Words","http://www.youtube.com/watch?v=G-k19OCq7vE",191,15,3,3,4.2,1.7963,2,4,4.8333,3,1.5055,2,3,4,3.3333,1.7764,2,4,4
46,,"melancholic","Katatonia","The Longest Year","http://www.youtube.com/watch?v=b9E53eUhEmA",31,15,4,2,5.1333,1.5861,2.1667,5,6,4.3333,2.0548,2.1667,5,6,5.0667,2.294,4,5,6.8333
47,,"anger","Slayer","Threshold","http://www.youtube.com/watch?v=sMf2srQ065E",91,15,4,3,4.6,2.1848,2.1667,4,6.8333,4.4,2.3889,2.1667,6,6,4.8667,2.5526,2.3333,5,7
48,,"angry","Limp Bizkit","Break Stuff","http://www.youtube.com/watch?v=ZpUYjpKg9KY",71,15,4,4,4.8667,1.8571,3,5,6,5.2,2.4,3,6,7,5.2,2.2271,5,5,6
49,,"scary","Parkway Drive","Smoke 'Em If Ya Got 'Em ","http://www.youtube.com/watch?v=7usTgw-7XfM",6,15,4,4,4.6,2.1229,4,4,5.8333,6,2.1909,4,6,8,5.2,2.3721,3,5,6.8333
50,,"sorrow","The Hours","Murder Or Suicide","http://www.youtube.com/watch?v=RbACqaCGVk4",201,15,4,2,5.4,1.0198,3.1667,5,6,4.3333,1.6997,3.1667,4,6,5.3333,1.5348,5,5,6.8333
51,31,"terrible","Mortemia","The One I Once Was","http://www.youtube.com/watch?v=O0yoxveh7Tg",211,15,4,4,3.6667,1.4907,4.1667,3,5,5.4667,2.0613,4.1667,5,7,4.6,1.7436,3.1667,5,6
52,,"hate","Overkill","I Hate","http://www.youtube.com/watch?v=I4UM6goudZY",6,15,4,3,4.6,1.6248,3.1667,5,5,4.6,1.9596,3.1667,4,6,5.7333,2.2351,4.1667,5,7
53,32,"shock","Marilyn Manson","The Beautiful People","http://www.youtube.com/watch?v=Ypkv0HeUvTc",6,15,4,4,4.6667,1.4907,6.1667,5,5,6.4,1.9253,6.1667,7,7,4.9333,1.5691,4,5,6
54,,"horror","Blitzkid","Nosferatu","http://www.youtube.com/watch?v=I5wt302oph0",76,15,4,1,5.4,1.0198,5,5,6,5.8667,1.8927,5,6,6,5.3333,2.0221,5,5,6
55,,"scary","Grace Jones","Corporate Cannibal","http://www.youtube.com/watch?v=FgMn2OJmx3w",101,15,4,4,4.8,1.5578,3,5,5,5.4667,2.3055,3,6,7.8333,4.7333,1.5261,3.1667,5,5.8333
56,33,"hate","Dead To Fall","Bastard Set Of Dreams","http://www.youtube.com/watch?v=HdH8NYsDwWk",126,15,4,4,3.9333,2.0483,4.1667,3,5.8333,6.1333,2.0934,4.1667,6,8,5.5333,1.8927,3.3333,6,7
57,,"terror","Trapped Under Ice","Believe","http://www.youtube.com/watch?v=6VLO9K-lUII",86,15,4,4,4.0667,1.6519,4.1667,4,5,5.4667,2.3055,4.1667,6,7,5.6667,2.3286,4.1667,7,7
58,,"angry","Pj Harvey","Who The Fuck?","http://www.youtube.com/watch?v=ZxcCN6BgO_k",81,16,4,3,4.625,1.8666,2.25,5,5.5833,4.3125,2.053,2.25,5,6,4.9375,1.56,5,5,5.5833
59,,"terror","Stigmata","В отражении глаз","http://www.youtube.com/watch?v=QNy4iEqQd1Q",151,16,4,4,4.0625,2.561,3.4167,3,6.1667,5.75,2.5372,3.4167,7,7,5.5,2.3979,3.4167,6.5,7
60,,"anger","Metallica","St. Anger","http://www.youtube.com/watch?v=rMEp_5FMXRE",161,14,4,4,4.7143,1.7496,3,5,5.0833,5.2143,2.3046,3,5.5,7.0833,5.0714,1.7098,4,5,6.0833
61,,,"Grease ","You're The One That I Want ","http://www.youtube.com/watch?v=gyUWkQj0Q_U",6,15,1,1,6.4,2.3036,3.3333,7,7.8333,5.3333,2.1187,3.3333,6,6,5.4,2.0265,5,5,6
62,4,,"The B52'S ","Love Shack","http://www.youtube.com/watch?v=leohcvmf8kM",181,15,1,1,7,1.7127,5,7,8.8333,5.9333,1.9821,5,6,7,6.0667,1.9821,5,5,8
63,5,,"Blur ","Song 2 ","http://www.youtube.com/watch?v=WlAHZURxRjY",6,15,1,1,7.2,1.7588,7,7,9,7.3333,1.5776,7,7,9,6.5333,2.0613,5.1667,7,8.6667
64,,,"Blind Melon ","No Rain ","http://www.youtube.com/watch?v=qmVn6b7DdpA",121,15,1,2,6.6667,1.4453,4.1667,7,7,5,1.7889,4.1667,5,6.8333,4.8,1.6,4,5,5.8333
65,,,"The Polyphonic Spree ","Soldier Girl ","http://www.youtube.com/watch?v=4uzddaCSwpE",71,15,1,2,6.2,1.4236,3.3333,6,7,4.8667,2.125,3.3333,5,6.8333,4.9333,1.7308,5,5,6
66,,,"Beastie Boys ","Sabotage ","http://www.youtube.com/watch?v=z5rRZdiu1UE",91,15,1,4,4.8667,2.4184,3.1667,5,6.8333,5.9333,2.1437,3.1667,6,7.8333,5.4,2.1229,4,5,7.8333
67,,,"Fatboy Slim ","Weapon Of Choice ","http://www.youtube.com/watch?v=K7Ky5R-vxns",141,16,1,1,6.8125,1.9435,4.4167,7,8.5833,5.6875,1.8275,4.4167,6,7,5.8125,1.8781,5,6,7
68,,,"The White Stripes","Seven Nation Army","http://www.youtube.com/watch?v=VTN31q357Ys",151,16,1,1,6.5625,2.2352,4.4167,6.5,9,5.9375,2.1642,4.4167,6,7.5833,6.0625,2.0454,4.4167,5.5,8
69,,,"Susan Boyle ","Britain's Got Talent 2009","http://www.youtube.com/watch?v=9lp0IWv8QZY",156,15,1,1,6.6,2.3036,4.1667,7,9,5.6,2.0913,4.1667,6,7,5.9333,2.4074,5,6,7.8333
70,6,,"Blink 182 ","First Date","http://www.youtube.com/watch?v=vVy9Lgpg1m8",51,15,1,1,6.1333,1.4996,5.1667,6,7,6.2,1.6,5.1667,6,7,5.6,1.9596,5,5,7
71,,,"Europe ","The Final Countdown","http://www.youtube.com/watch?v=7_IKcMl_a9A",6,15,1,1,6.4,2.498,4.3333,7,8,6.2667,2.4349,4.3333,7,8,6.1333,2.3907,5.1667,6,8
72,7,,"Benny Benassi ","Satisfaction ","http://www.youtube.com/watch?v=eoRiVwFP02s",26,15,1,1,6.6667,1.8856,6,7,8.6667,6.4667,2.0613,6,7,8,5.9333,2.3228,5,7,7.8333
73,,,"Christina Aguilera, Lil' Kim, Mya, Pink ","Lady Marmalade ","http://www.youtube.com/watch?v=RQa7SvVCdZk",6,15,1,1,6.2,1.833,3.1667,7,7,5.2667,2.0155,3.1667,6,6.8333,6,2.0656,5,6,7
74,,,"The Chemical Brothers","Do It Again","http://www.youtube.com/watch?v=VMpakpQBaxE",6,15,1,1,6.0667,1.8062,5,6,7,5.9333,1.7689,5,7,7,5.4,1.7814,4.1667,6,6.8333
75,,,"Aqua","Barbie Girl","http://www.youtube.com/watch?v=-_pTeDz4Zpk",141,15,1,2,6.4667,2.1868,3.1667,7,8,4.8667,2.247,3.1667,5,6.8333,5,1.6733,4,5,6
76,17,,"Air","Moon Safari","http://www.youtube.com/watch?v=kxWFyvTg6mc",211,15,2,2,6.0667,1.6111,2,6,7,3,1.5055,2,3,3.8333,4.8,2.1354,3.1667,5,6.6667
77,,,"Cardigans ","Carnival ","http://www.youtube.com/watch?v=ZiclTJajivc)",111,16,2,2,6.125,1.8998,2.4167,6.5,7,4.5625,2.03,2.4167,5.5,6,4.625,1.6536,3.4167,5,5.5833
78,,,"Smashing Pumpkins ","1979 ","http://www.youtube.com/watch?v=E2snP7rGP6g",176,15,2,1,5.1333,1.6275,4,5,6,5.3333,2.087,4,5,6.8333,5.0667,2.5421,3,5,7
79,,,"Coldplay ","Viva La Vida ","http://www.youtube.com/watch?v=-9tgyQriews",186,15,2,2,6.4667,1.6275,2.3333,6,7.8333,4.9333,2.3795,2.3333,5,7,5.6,1.9253,5,6,6
80,18,,"Louis Armstrong ","What A Wonderful World ","http://www.youtube.com/watch?v=3orLNBS2ZbU",86,15,2,2,7.1333,1.4079,2.1667,7,8,3.8667,1.8571,2.1667,4,5,5,2.1909,3.1667,5,7
81,,,"Black Eyed Peas ","My Humps","http://www.youtube.com/watch?v=iEe_eraFWWs",6,15,2,2,5.6667,2.087,4,6,7,4.8667,1.8571,4,6,6,5.8,1.833,5,6,6
82,,,"Lene Marlin","Sitting Down Here","http://www.youtube.com/watch?v=Mov0dnY_6NM",31,15,2,2,5.5333,2.0287,2.1667,6,7,4,2,2.1667,4,6,4.4,1.8184,3,5,5.8333
83,19,,"Manu Chao ","Me Gustas Tu","http://www.youtube.com/watch?v=mzgjiPBCsss",46,15,2,2,7.5333,1.2579,3.1667,8,8,4.4667,1.5861,3.1667,5,5.8333,5.7333,1.4817,5,5,6.8333
84,8,,"Lily Allen ","Fuck You","http://www.youtube.com/watch?v=S0zMHf7J15g",6,15,2,1,7.2667,1.34,5,7,8.8333,6.0667,1.7689,5,6,7,6.6667,1.6193,6,6,8
85,20,,"Taylor Swift ","Love Story","http://www.youtube.com/watch?v=8xg3vE8Ie_E",151,15,2,2,6.2667,1.1813,3,6,6.8333,4.1333,1.7075,3,5,5.8333,4.6667,1.7764,3,5,6
86,,,"Pink Floyd","Marooned","http://www.youtube.com/watch?v=0mSEhr-K05E",176,15,2,2,5.2,0.9798,1,5,5.8333,3.3333,2.1499,1,3,5,4.5333,1.4996,4,5,5
87,,,"Faith No More","Easy","http://www.youtube.com/watch?v=t1WAMNIunKc",131,15,2,2,6.0667,1.6519,3,6,7,4.5333,1.7461,3,4,5,5.2667,1.9137,4.1667,5,6
88,9,,"Queen","I Want To Break Free","http://www.youtube.com/watch?v=EVYgRPfC9nQ",6,15,2,1,7.0667,1.8427,6,7,8,6.4,1.9933,6,7,7.8333,6.8,2.1664,5.1667,8,8
89,,,"Belle And Sebastian","Step Into My Office Baby","http://www.youtube.com/watch?v=5YObYOHIZkk",131,15,2,2,5.4667,1.147,3,5,6.8333,3.8667,1.4079,3,4,5,4.0667,1.8062,2.1667,5,5
90,,,"Nouvelle Vague","Dancing With Myself","http://www.youtube.com/watch?v=J5j-ipGFcko",111,15,2,2,6.5333,1.147,4,7,7,4.8667,1.4079,4,5,6,5.1333,1.9956,4.1667,6,6.8333
91,,,"Moby","Why Does My Heart Feel So Bad","http://www.youtube.com/watch?v=qT6XCvDUUsU",171,15,3,3,4.6667,2.1807,3,5,6,4.0667,1.8427,3,4,6,3.8,1.7588,3,3,5
92,,,"The Verve ","Bittersweet Symphony ","http://www.youtube.com/watch?v=Zx3m4e45bTo",216,15,3,1,6,2,4,7,7,5.2667,1.8062,4,5,7,6.4,1.5832,5,7,7
93,,,"Coldplay ","The Scientist ","http://www.youtube.com/watch?v=tmjPrdTNxQ0",111,15,3,3,4.6,1.8184,2,5,5.8333,4,1.7889,2,5,5,4.2,1.7588,4,4,5
94,,,"Apocalyptica ","Nothing Else Matters ","http://www.youtube.com/watch?v=8ftz06I_j-k",126,15,3,3,4.6667,1.5776,3,5,5.8333,4.1333,2.0287,3,4,6,4.5333,1.9956,3,4,7
95,27,,"Madonna","Rain","http://www.youtube.com/watch?v=15kWlTrpt5k",31,15,3,3,4.3333,2.0221,2,5,5.8333,3.1333,1.7839,2,2,5,4.8,1.9732,3,6,6
96,28,,"Sia","Breathe Me","http://www.youtube.com/watch?v=ghPcYqn0p4Y",6,16,3,3,3.25,1.299,1.4167,3,4,2.75,1.4361,1.4167,3,3.5833,2.9375,1.4348,1.4167,3,4.1667
97,29,,"Christina Aguilera ","Hurt","http://www.youtube.com/watch?v=zHqZmtAD0lQ",181,16,3,3,3.4375,1.3214,2,3.5,4,3.625,1.8329,2,3.5,5.5833,3.9375,2.304,2.4167,3.5,5.5833
98,30,,"Enya ","May It Be (Saving Private Ryan)","http://www.youtube.com/watch?v=xxvw5vrJxos",86,15,3,3,3.2,1.7588,2,3,4,3.6667,1.8856,2,3,4.8333,3.2667,1.8785,2,3,4
99,,,"Requiem For A Dream ","Ending Scene (The Musical Part)","http://www.youtube.com/watch?v=uuzNohk5cYw",6,15,3,3,3.8667,1.7839,2.1667,3,5,4.2667,2.3228,2.1667,4,6.6667,4.0667,2.2351,1.3333,5,5.8333
100,,,"Once","Falling Slowly","http://www.youtube.com/watch?v=CoSL_qayMCc",106,15,3,3,4.9333,1.6111,2.1667,5,6.8333,3.6667,1.7385,2.1667,4,4.8333,4.4,1.7436,3,4,6
101,,,"Portishead","Roads","http://www.youtube.com/watch?v=Vg1jyL3cr60",201,15,3,3,4.6667,1.8135,2,5,5,3.8,2.2862,2,3,5.8333,3.6667,1.5348,2.1667,4,5
102,,,"Sinead O'Connor","Nothing Compares To You","http://www.youtube.com/watch?v=iUiTQvT0W_0",196,15,3,3,4.2,1.7588,2,4,5,4,2.556,2,4,6,3.8667,1.4545,3,4,5
103,,,"The Righteous Brothers","Unchained Melody","http://www.youtube.com/watch?v=dwXzpTU-NCk",96,15,3,1,6.2,1.7205,4,7,7,5.0667,1.8062,4,6,6,4.9333,1.7308,3.1667,5,6
104,,,"Radiohead ","No Surprises","http://www.youtube.com/watch?v=sgzeqwhNTDk",6,14,3,2,5.5714,1.7202,2.9167,5.5,7,4.4286,1.9535,2.9167,5,6,4.5714,1.5452,3.9167,5,5.0833
105,,,"Jeff Buckley","Hallelujah","http://www.youtube.com/watch?v=N3-_DbEYe7A",41,14,3,3,4.8571,2.5595,2,4.5,7.0833,4.9286,2.9872,2,4.5,9,4.0714,2.0165,2.9167,3.5,6
106,,,"Day-Mar","Embrace The Night ","http://www.youtube.com/watch?v=GKcQ2RiETss",136,15,4,3,4.1333,1.8571,2.5,4,5,5,2.3944,2.5,6,7,5.4,2.0591,4,5,6.8333
107,34,,"Dj Paul Elstak","A Hardcore State Of Mind","http://www.youtube.com/watch?v=6fxI1JsXv1A",131,14,4,4,4.7857,1.9339,5.9167,5,6.0833,6.3571,1.9496,5.9167,7,8,4.9286,2.1865,3.9167,4.5,7
108,21,,"Diamanda Galas","Gloomy Sunday","http://www.youtube.com/watch?v=KzWVWY5QUzg",41,14,4,3,4.1429,1.807,3,4,5,4.2143,1.5203,3,4.5,5.0833,4,1.8127,2.9167,4.5,5.0833
109,,,"The Smashing Pumpkins","Bullet With Butterfly Wings","http://www.youtube.com/watch?v=dxNX_PRqhCQ",141,14,4,4,4.5,1.7217,4.9167,5,6,5.6429,1.7158,4.9167,6,7,4.2857,1.666,3,4.5,6
110,,,"The Cranberries","Zombie","http://www.youtube.com/watch?v=6Ejga4kJUts",256,14,4,4,4.6429,2.0216,4.9167,4.5,5.0833,5.6429,1.7971,4.9167,6,7,5.1429,1.7261,3.9167,5,6
111,35,,"Napalm Death ","Procrastination On The Empty Vessel","http://www.youtube.com/watch?v=Y9eXzmVzDR8",41,15,4,4,3.5333,1.8927,4.3333,3,4.8333,6.3333,2.1187,4.3333,7,7.8333,4.9333,2.3514,3.1667,5,6.8333
112,36,,"Sepultura ","Refuse Resist","http://www.youtube.com/watch?v=AJQ4sg3VCsk",6,15,4,4,4.9333,2.294,7,5,6.8333,7.2667,1.34,7,7,8,7.0667,2.0806,5.1667,8,9
113,37,,"Cradle Of Filth ","Scorched Earth Erotica","http://www.youtube.com/watch?v=ScD62dww0Fw",6,15,4,4,3.2667,1.6111,5.1667,4,4,5.8667,2.2764,5.1667,6,7.8333,5.5333,2.2764,4,6,7
114,,,"Deicide","Homage For Satan","http://www.youtube.com/watch?v=IJkMrl4AG8w",116,15,4,1,5.1333,2.5263,5.1667,5,6.8333,6.4,1.9933,5.1667,7,7.8333,5.8,1.9391,5,6,7
115,38,,"Gorgoroth ","Carving A Giant","http://www.youtube.com/watch?v=aFn26ntmSsg",166,15,4,4,3.2667,2.1124,4.1667,3,4,5.3333,2.241,4.1667,6,7,5.6667,2.4129,3.3333,6,7.8333
116,39,,"Dark Funeral ","My Funeral ","http://www.youtube.com/watch?v=TEVodXzNmPM",251,15,4,4,3.4667,2.3343,3.1667,3,4.8333,5.3333,2.3851,3.1667,6,7,5.2667,2.8628,2.1667,5,8
117,,,"Counting Crows","Angels Of The Silences","http://www.youtube.com/watch?v=rHaKHy8qSpo",106,15,4,1,5.8667,1.4079,4,6,6,5.2,1.4236,4,6,6,5.6667,1.66,5,6,6.8333
118,10,,"Rage Against The Machine","Bombtrack","http://www.youtube.com/watch?v=Tu1wAP2Baco",6,15,4,1,5.8667,2.1868,6,6,8.5,7.0667,1.436,6,7,8,7.0667,1.6111,6,7,9
119,,,"Scooter","Hyper Hyper","http://www.youtube.com/watch?v=7Twnmhe948A",151,15,4,3,4.0667,1.9137,2,5,5.8333,4.6,2.4712,2,5,6.8333,5,2.1292,4.1667,5,6.6667
120,40,,"Arch Enemy","My Apocalypse","http://www.youtube.com/watch?v=mZM-d2qD15E",201,15,4,4,3.7333,2.594,4,3,4.8333,5.7333,2.2351,4,6,7.8333,5.5333,2.3627,4,5,7
